Drug1,Drug2,Severity,Interaction,Mechanism,Pharmacokinetics,Pharmacodynamics,Effect_Change,Why_Explanation,Cytochrome,Dose_Consideration,Therapeutic_Index,Onset,Route_Impact,Patient_Factors,Clinical_Advice,Evidence_Type,Clinical_Outcome
Warfarin,Aspirin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Ibuprofen,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Paracetamol,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Fluoxetine,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Sertraline,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Digoxin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Amiodarone,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Metformin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Insulin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Ciprofloxacin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Azithromycin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Rifampicin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Omeprazole,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Theoretical,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Clopidogrel,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Immediate,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Heparin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Atorvastatin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Clinical study,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
Warfarin,Simvastatin,Major,Pharmacological interaction affecting efficacy or toxicity,CYP enzyme modulation or receptor-level interaction,"Altered metabolism, absorption or excretion","Additive, synergistic or antagonistic effects",Change in therapeutic effect or toxicity profile,Shared metabolic pathway;Enzyme inhibition or induction;Altered plasma concentration,CYP3A4 / CYP2D6 / CYP2C9 involvement,Higher doses increase severity of interaction,Narrow,Delayed,Oral route significantly affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor closely depending on severity,Literature,"Severe toxicity, bleeding, arrhythmia, or life-threatening effects"
